b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SPAN-120","Spanish I","","4.0 units","Lecture","62001D","001","9:00-9:50am","MWThF","19","2","0","","VKC111"
"","","","","Lecture","62003D","001","12:00-12:50pm","MTuThF","19","1","0","Jaclyn Cohen-Steinberg","VKC110"
"","","","","Lecture","62005D","001","8:00-9:50am","Wed, Fri","19","2","0","Gayle Fiedler-Vierma","THH215"
"","","","","Lecture","62007D","001","10:00-10:50am","MTuThF","19","1","0","Jamie Fudacz","VKC161"
"","","","","Lecture","62009D","001","11:00-11:50am","MTuThF","19","5","0","Jaclyn Cohen-Steinberg","VKC110"
"","","","","Lecture","62011D","001","12:00-12:50pm","MTuThF","19","1","0","Jamie Fudacz","VKC208"
"SPAN-150","Spanish II","P","4.0 units","Lecture","62027R","001","6:00-7:50pm","Mon, Wed","19","2","0","","VKC106"
"","","","","Lecture","62029R","001","12:00-1:50pm","Mon, Wed","19","8","0","Karen Perez","THH205"
"","","","","Lecture","62031R","001","2:00-3:50pm","Tue, Thu","19","2","0","Karen Perez","VKC107"
"","","","","Lecture","62033R","001","10:00-11:50am","Tue, Thu","19","6","0","Ivette Gomez","VKC106"
"","","","","Lecture","62035R","001","8:00-9:50am","Mon, Wed","19","3","0","Carolina Castillo Larrea","VKC107"
"","","","","Lecture","62037R","001","8:00-9:50am","Tue, Thu","19","0","0","","VKC107"
"","","","","Lecture","62039R","001","4:00-5:50pm","Mon, Wed","19","1","0","Maura Crowley","THH119"
"","","","","Lecture","62041R","001","2:00-3:50pm","Mon, Wed","19","5","0","Carolina Castillo Larrea","THH106"
"","","","","Lecture","62043R","001","10:00-11:50am","Tue, Thu","19","0","0","David Zarazua","VKC107"
"","","","","Lecture","62045R","001","2:00-2:50pm","MTuWTh","19","2","0","Nathalie Bragadir","THH217"
"","","","","Lecture","62047R","001","2:00-3:50pm","Mon, Wed","19","2","0","Liana Stepanyan","VKC108"
"","","","","Lecture","62049R","001","4:00-5:50pm","Mon, Wed","19","0","0","Ellen Oliveira","VKC106"
"","","","","Lecture","62051R","001","2:00-3:50pm","Mon, Wed","19","0","0","","VKC107"
"","","","","Lecture","62053R","001","4:00-5:50pm","Tue, Thu","19","2","0","Karen Perez","VKC107"
"","","","","Lecture","62055R","001","9:00-9:50am","MTuThF","19","1","0","Jamie Fudacz","VKC161"
"","","","","Lecture","62057R","001","10:00-10:50am","MTuThF","19","1","0","Jaclyn Cohen-Steinberg","VKC110"
