b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SSCI-135g","Maps in the Digital World","","4.0 units","Lecture","35619R","001","11:00-12:20pm","MWF","19","4","0","","MRF206"
"SSCI-165Lgw","Sustainability Science in the City","","4.0 units","Lecture","35628R","001","11:00-11:50am","MWF","120","73","0","Robert Vos","SLH200"
"","","","","Lab","35629R","001","4:00-5:50pm","Monday","20","15","0","","AHF145A"
"","","","","Lab","35630R","001","12:00-1:50pm","Wednesday","20","20","0","","AHF145A"
"","","","","Lab","35631R","001","4:00-5:50pm","Wednesday","20","11","0","","AHF145A"
"","","","","Lab","35632R","001","4:00-5:50pm","Friday","20","1","0","","AHF145A"
"","","","","Lab","35633R","001","2:00-3:50pm","Thursday","20","15","0","","AHF145A"
"","","","","Lab","35634R","001","12:00-1:50pm","Friday","20","11","0","","AHF145A"
"SSCI-201","Principles of GeoDesign","","4.0 units","Lecture","35712R","001","12:00-1:50pm","Mon, Wed","20","8","0","Leilei Duan","THH213"
"SSCI-214g","Human Populations and Natural Hazards","","4.0 units","Lecture","35635R","001","9:30-10:50am","Tue, Thu","100","15","0","Jennifer Swift","THH101"
"","","","","Discussion","35620R","001","10:00-10:50am","Wednesday","25","4","0","","WPH206"
"","","","","Discussion","35621R","001","10:00-10:50am","Friday","25","2","0","",""
"","","","","Discussion","35636R","001","11:00-11:50am","Tuesday","25","4","0","",""
"","","","","Discussion","35651R","001","11:00-11:50am","Thursday","25","5","0","",""
"SSCI-220L","Spatial Data Collection Using Drones","","4.0 units","Lecture","35771R","001","10:00-11:20am","Mon, Fri","20","1","0","<a href="http://spatial.usc.edu/index.php/team-view/steven-d-fleming/">Steven Fleming,</a>Jason Knowles",""
"","","","","Lab","35780R","001","8:00-9:50am","Monday","15","0","0","","AHF145A"
"","","","","Lab","35781R","001","8:00-9:50am","Friday","15","1","0","","AHF145A"
"SSCI-265Lg","The Water Planet","","4.0 units","Lecture","35637R","001","11:00-12:20pm","Tue, Thu","120","7","0","John Wilson,<br /><a href="http://spatial.usc.edu/index.php/team-view/lisa-sedano/">Elisabeth Sedano</a>","THH102"
"","","","","Lab","35638R","001","10:00-11:50am","Monday","20","0","0","","AHF145A"
"","","","","Lab","35639R","001","12:00-1:50pm","Monday","20","1","0","","AHF145A"
"","","","","Lab","35640R","001","10:00-11:50am","Friday","20","0","0","","AHF145A"
"","","","","Lab","35641R","001","2:00-3:50pm","Tuesday","20","1","0","","AHF145A"
"","","","","Lab","35642R","001","10:00-11:50am","Wednesday","20","1","0","","AHF145A"
"","","","","Lab","35643R","001","4:00-5:50pm","Thursday","20","4","0","","AHF145A"
"SSCI-301L","Maps and Spatial Reasoning","","4.0 units","Lecture","35646R","001","9:30-10:50am","Tue, Thu","80","9","0","Laura Loyola","LVL17"
"","","","","Lab","35647R","001","2:00-3:50pm","Wednesday","15","1","0","","AHF145A"
"","","","","Lab","35648R","001","12:00-1:50pm","Thursday","15","2","0","","AHF145A"
"","","","","Lab","35649R","001","4:00-5:50pm","Tuesday","15","3","0","","AHF145A"
"","","","","Lab","35652R","001","2:00-3:50pm","Monday","15","3","0","","AHF145A"
"SSCI-340","Community Health Scan","","4.0 units","Lecture","35794R","001","3:00-4:50pm","Tue, Thu","20","5","0","Leilei Duan","AHF145D"
"SSCI-397","Spatial Sciences Internship","","2.0-4.0 units","Lecture","35626D","001","TBA","TBA","3","0","0","John Wilson","OFFICE"
"SSCI-401L","Geospatial Intelligence","","4.0 units","Lecture","35773R","001","12:30-1:50pm","Mon, Fri","20","5","0","<a href="http://spatial.usc.edu/index.php/team-view/steven-d-fleming/">Steven Fleming,</a>Jason Knowles","SOSB45"
"","","","","Lab","35774R","001","2:00-3:50pm","Friday","15","3","0","","AHF145A"
"","","","","Lab","35783R","001","12:00-1:50pm","Tuesday","15","2","0","","AHF145A"
"SSCI-402","Geospatial Technology Management for Sustainability Science","P","4.0 units","Lecture","35777R","001","2:00-3:50pm","Mon, Wed","20","1","0","<a href="http://spatial.usc.edu/index.php/team-view/robert-vos/">Robert Vos,</a>Leilei Duan",""
"SSCI-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","35727D","001","TBA","TBA","3","0","0","","OFFICE"
"SSCI-577","Human Security and Disaster Management","","4.0 units","Lecture","35686D","705","TBA","TBA","20","1","0","Darren Ruddell","ONLINE"
"SSCI-579","Geospatial Intelligence Tradecraft","","4.0 units","Lecture","35687D","705","TBA","TBA","20","2","0","Andrew Marx","ONLINE"
"SSCI-580","Spatial Computing","","4.0 units","Lecture","35890D","001","10:00-11:50am","Wed, Fri","20","0","0","Jennifer Swift","AHF145D"
"SSCI-581","Concepts for Spatial Thinking","","4.0 units","Lecture","35692D","705","TBA","TBA","20","1","0","Jennifer Bernstein","ONLINE"
"","","","","Lecture","35693D","705","TBA","TBA","20","2","0","Katsuhiko Oda","ONLINE"
"","","","","Lecture","35892D","001","12:00-1:50pm","Mon, Wed","20","1","0","Katsuhiko Oda","AHF145D"
"SSCI-582","Spatial Databases","","4.0 units","Lecture","35695D","705","TBA","TBA","20","0","0","An-Min Wu","ONLINE"
"","","","","Lecture","35785D","705","TBA","TBA","20","0","0","","ONLINE"
"SSCI-583","Spatial Analysis","","4.0 units","Lecture","35699D","705","TBA","TBA","20","0","0","Elisabeth Sedano","ONLINE"
"","","","","Lecture","35700D","001","3:00-4:50pm","Mon, Wed","20","1","0","Su Jin Lee","AHF145D"
"SSCI-584","Spatial Modeling","","4.0 units","Lecture","35703D","705","TBA","TBA","20","1","0","","ONLINE"
