b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SWMS-210mgw","Social Analysis of Gender","","4.0 units","Lecture","34900R","001","12:30-1:50pm","Tue, Thu","20","20","0","Ange-Marie Alfaro","THH202"
"","","","","Discussion","34906R","001","9:00-9:50am","Friday","25","8","0","","THH213"
"","","","","Discussion","34907R","001","10:00-10:50am","Friday","25","3","0","","WPH206"
"","","","","Discussion","34908R","001","11:00-11:50am","Friday","25","4","0","","WPH206"
"","","","","Discussion","34909R","001","1:00-1:50pm","Friday","25","4","0","","THH213"
"","","","","Discussion","34910R","001","2:00-2:50pm","Friday","25","0","0","","THH213"
"","","","","Discussion","34911R","001","3:00-3:50pm","Friday","25","1","0","","THH213"
"SWMS-219gp","Introduction to Feminist Theory","","4.0 units","Lecture","34912R","001","2:00-3:20pm","Tue, Thu","49","49","0","Diana Blaine","THH210"
"","","","","Discussion","34913R","001","10:00-10:50am","Friday","25","24","0","","THH217"
"","","","","Discussion","34914R","001","11:00-11:50am","Friday","25","25","0","","THH217"
"SWMS-300","Women in Antiquity","","4.0 units","Lecture","19830R","001","11:00-12:20pm","Tue, Thu","30","6","0","Susan Lape","VKC210"
"SWMS-310","Gender and Social Justice","P","4.0 units","Lecture","34922R","001","9:30-10:50am","Tue, Thu","25","11","0","Jane Junn","THH215"
"SWMS-311","Gender and Sexuality Studies: Internship","M","2.0-8.0 units, max 8","Lecture","34923D","001","TBA","TBA","10","4","0","Diana Blaine","OFFICE"
"SWMS-316","Gender and Global Issues","","4.0 units","Lecture","37803D","001","11:00-11:50am","MWF","1","3","0","","VKC152"
"SWMS-337","The LGBTQ Revolution and the Media","","4.0 units","Lecture","20538R","001","2:00-4:50pm","Monday","40","11","0","Larry Gross","ASC G34"
"SWMS-344mg","Sexual/Textual Diversity","","4.0 units","Lecture","32754D","001","11:00-12:20pm","Tue, Thu","19","4","0","Karen Tongson","VKC151"
"SWMS-349","Women and the Law","P","4.0 units","Lecture","34931R","001","11:00-12:20pm","Tue, Thu","25","19","0","Jane Junn","THH213"
"SWMS-355","Transgender Studies","P","4.0 units","Lecture","34935R","001","5:00-6:20pm","Tue, Thu","25","3","0","Emerson Whitney","THH121"
"SWMS-370","Sex, Love, and Marriage: An Introduction to Kinship","","4.0 units","Lecture","10732R","001","11:00-12:20pm","Tue, Thu","19","11","0","Erin Moore","GFS221"
"SWMS-378","Literature, Theory, Gender","","4.0 units","Lecture","22037R","001","11:00-11:50am","MWF","19","4","0","Michael Du Plessis","THH119"
"SWMS-395m","Gender, Media and Communication","","4.0 units","Lecture-Discussion","20600R","001","2:00-3:30pm","Tue, Thu","49","22","0","Sarah Kessler","ASC204"
"SWMS-410","Senior Seminar in Gender and Sexuality Studies","P","4.0 units","Lecture","34951D","001","2:00-4:50pm","Monday","17","13","0","Sara Haq","THH211"
"SWMS-412","Gender, Sexuality and Media","","4.0 units, max 8"
"","Gender and Sexuality Are the Media","","4.0","Lecture","18196R","001","2:00-5:50pm","Tuesday","31","31","0","Aniko Imre","RZC111"
"SWMS-434m","Women and Aging: Psychological, Social, and Political Implications","","4.0 units","Lecture","36245R","001","1:00-3:50pm","Tuesday","30","5","0","Laura Rath","GER224"
"SWMS-442m","Women\'s Spaces in History: \'Hussies,\' \'Harems,\' and \'Housewi","","4.0 units","Lecture","11256R","001","12:30-3:20pm","Tuesday","24","13","0","","WAH212"
"SWMS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34967D","001","TBA","TBA","10","0","0","Diana Blaine","OFFICE"
"SWMS-499","Special Topics","","2.0-4.0 units, max 8"
"","Islamic Mysticism and Sexuality","","4.0","Lecture","34971R","001","2:00-4:50pm","Wednesday","25","5","0","Sara Haq","VKC161"
"SWMS-590","Directed Research","","1.0-12.0 units","Lecture","34988D","001","TBA","TBA","10","0","0","Ange-Marie Alfaro","OFFICE"
'
