b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"THTR-101","Introduction to Acting","","4.0 units","Lecture","62602D","001","8:00-9:50am","Mon, Wed","20","0","0","",""
"","","","","Lecture","62607D","001","8:00-9:50am","Mon, Wed","20","1","0","Mary Joan Negro","MCC107"
"","","","","Lecture","62610R","001","6:00-7:50pm","Tue, Thu","20","2","0","Jeremiah O\'Brian","SHR105"
"","","","","Lecture","62601D","001","8:00-9:50am","Mon, Wed","20","2","0","Kenneth Mitchell",""
"","","","","Lecture","62603D","001","8:00-9:50am","Mon, Wed","20","0","0","Rodney To","MCC112"
"","","","","Lecture","62604D","001","12:00-1:50pm","Mon, Wed","20","0","0","Paul Lazarus","MCC112"
"","","","","Lecture","62605D","001","8:00-9:50am","Mon, Wed","20","0","0","Bob Bailey","MCC109"
"","","","","Lecture","62606R","001","12:30-2:20pm","Tue, Thu","20","7","0","Paul Urcioli","DRC120"
"","","","","Lecture","62608R","001","8:00-9:50am","Tue, Thu","20","2","0","Kirstin Eggers",""
"THTR-115a","Movement I","M","2.0 units","Lecture","62621D","001","8:00-9:50am","Mon, Wed","20","0","0","Stephanie Shroyer","PED208"
"THTR-120aL","Acting I","M","2.0 units","Lecture","62625D","001","8:00-9:50am","Tue, Thu","20","0","0","Mary Joan Negro","MCC109"
"","","","","Lecture","62627D","001","2:00-3:50pm","Tue, Thu","20","0","0","","MCC109"
"","","","","Lab","62626D","001","10:00-11:50am","Friday","20","0","0","Zachary Steel","MCC109"
"","","","","Lab","62628D","001","2:00-3:50pm","Friday","20","0","0","Kenneth Mitchell","MCC109"
"THTR-122","Improvisation and Theatre Games","","2.0 units, max 4","Lecture","62636R","001","6:00-7:50pm","Monday","20","15","0","Debra De Liso","MCC112"
"","","","","Lecture","62637R","001","4:00-5:50pm","Friday","20","1","0","Debra De Liso","MCC109"
"","","","","Lecture","62638R","001","12:00-1:50pm","Thursday","20","7","0","Kirstin Eggers","MCC112"
"","","","","Lecture","62631R","001","2:00-3:50pm","Tuesday","20","16","0","Julie Welch","MCC107"
"","","","","Lecture","62632R","001","2:00-3:50pm","Thursday","20","3","0","Kirstin Eggers","MCC107"
