b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"TRGN-510","Basic Foundations in Translational Biomedical Informatics","","4.0 units","Lecture","70080D","001","1:00-2:50pm","Tue, Thu","12","0","0","",""
"","","","","Lecture","70091D","046","1:00-2:50pm","Tue, Thu","12","0","0","David Craig",""
"TRGN-514","Introduction to Human Genomic Analysis Methods","","4.0 units","Lecture","70081D","001","3:00-4:50pm","Tue, Thu","10","0","0","",""
"","","","","Lecture","70092D","046","3:00-4:50pm","Tue, Thu","10","0","0","Brooke Hjelm",""
"TRGN-520","Translational Biomedical Informatics Capstone Portfolio","MC","2.0-4.0 units, max 4","Lecture","70084D","001","TBA","TBA","2","0","0","","TBA"
"","","","","Lecture","70095D","046","TBA","TBA","2","0","0","David Craig","OFFICE"
"TRGN-524","Applications of Genomic Technology in Biomedical Research I","","4.0 units","Lecture","70085D","001","10:00-11:50am","Mon, Wed","10","0","0","",""
"","","","","Lecture","70096D","046","11:00-12:50pm","Mon, Wed","10","0","0","Bodour Salhia",""
"TRGN-526","Clinical Bioinformatics in Genomic Testing","C","2.0 units","Lecture","70087D","001","4:00-4:55pm","Mon, Wed","10","0","0","",""
"","","","","Lecture","70098D","046","4:00-4:55pm","Mon, Wed","12","0","0","Xiaowu Gai",""
"TRGN-536","Biotechnology Primer","","4.0 units","Lecture","70050R","001","1:00-2:50pm","Mon, Wed","15","0","0","",""
"","","","","Lecture","70066R","046","1:00-2:50pm","Mon, Wed","15","0","0","Carol Lin",""
"TRGN-537","Pathway and Target Discovery","","4.0 units","Lecture","70051R","001","10:00-11:50am","Mon, Wed","15","0","0","",""
"TRGN-539","Translational Biotechnology Practicum","","2.0-4.0 units, max 4","Lecture","70053R","001","TBA","TBA","10","0","0","","TBA"
"","","","","Lecture","70069R","046","TBA","TBA","10","0","0","Carol Lin","OFFICE"
"TRGN-540","Translational Biotechnology Capstone Preparation","","1.0 unit","Lecture","70054R","001","TBA","TBA","15","0","0","","TBA"
"","","","","Lecture","70070R","046","TBA","TBA","15","0","0","Carol Lin","OFFICE"
"TRGN-541","Translational Biotechnology Capstone Defense","P","2.0 units","Lecture","70055R","001","TBA","TBA","5","0","0","","TBA"
"","","","","Lecture","70071R","046","TBA","TBA","5","0","0","Carol Lin","OFFICE"
"TRGN-542","Biotechnology-based Therapeutics","","2.0 units","Lecture","70056R","001","10:00-11:50am","Monday","15","0","0","",""
"","","","","Lecture","70072R","046","10:00-11:50am","Monday","15","1","0","Carol Lin",""
"TRGN-543","Biotechnology Entrepreneurship and Commercialization I","","2.0 units","Lecture","70057R","001","10:00-11:50am","Thursday","20","0","0","",""
"","","","","Lecture","70073R","046","10:00-11:50am","Thursday","20","0","0","Ron King",""
"TRGN-590","Directed Research","MC","1.0-12.0 units, max 12","Lecture","70060R","001","TBA","TBA","2","0","0","","TBA"
"","","","","Lecture","70076R","046","TBA","TBA","2","0","0","Carol Lin","OFFICE"
'
