b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"USC-300","Overseas Block Enrollment","","1.0-16.0 units, max 16","Lecture","00295D","726","TBA","TBA","1","0","0","","OFFICE"
"","","","","Lecture","00401R","657","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00403R","931","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00404R","357","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00405R","801","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00410R","493","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00416R","796","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00417R","464","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00418R","336","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00419R","887","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00420R","201","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00421R","899","TBA","TBA","40","1","0","","OFF CAMPUS"
"","","","","Lecture","00423R","844","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00427R","895","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00428R","720","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00433R","399","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00434R","295","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00435R","587","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00436R","738","TBA","TBA","40","1","0","","OFF CAMPUS"
"","","","","Lecture","00437R","772","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00438R","896","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00439R","671","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00440R","821","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00441R","093","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00442R","933","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00444R","873","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00445R","187","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00446R","092","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00447R","855","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00448R","970","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00450R","944","TBA","TBA","40","1","0","","OFF CAMPUS"
"","","","","Lecture","00451R","971","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00452R","724","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00453R","132","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00454R","090","TBA","TBA","40","0","0","","OFF CAMPUS"
"","","","","Lecture","00455R","444","TBA","TBA","40","0","0","","OFF CAMPUS"
'
