b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-120gp","Foundations of Western Art: Prehistoric to Renaissance","","4.0 units","Lecture","11805R","001","12:30-1:50pm","Tue, Thu","176","59","0","Hector Reyes","SGM123"
"","","","","Discussion","11806R","001","9:00-9:50am","Friday","22","9","0","","THH112"
"","","","","Discussion","11807R","001","9:00-9:50am","Friday","22","3","0","","VKC109"
"","","","","Discussion","11808R","001","10:00-10:50am","Friday","22","19","0","","VKC109"
"","","","","Discussion","11809R","001","11:00-11:50am","Friday","22","13","0","","VKC109"
"","","","","Discussion","11810R","001","12:00-12:50pm","Friday","22","9","0","","VKC109"
"","","","","Discussion","11811R","001","1:00-1:50pm","Friday","22","4","0","","VKC109"
"","","","","Discussion","11812R","001","2:00-2:50pm","Friday","22","1","0","","VKC109"
"","","","","Discussion","11813R","001","3:00-3:50pm","Friday","22","1","0","","VKC109"
"AHIS-201g","Digging into the Past","","4.0 units","Lecture","11868R","001","11:00-12:20pm","Tue, Thu","100","20","0","John Pollini","SOSB2"
"","","","","Discussion","11869R","001","12:00-12:50pm","Friday","25","8","0","","WPH206"
"","","","","Discussion","11870R","001","9:00-9:50am","Friday","22","4","0","","VKC207"
"","","","","Discussion","11871R","001","10:00-10:50am","Friday","22","3","0","","WPH103"
"","","","","Discussion","11872R","001","11:00-11:50am","Friday","22","5","0","","WPH103"
"AMST-301gp","America, the Frontier, and the New West","","4.0 units","Lecture","10408R","001","2:00-3:20pm","Mon, Wed","20","20","0","Chrisshonna Nieva","THH301"
"","","","","Discussion","10409R","001","9:00-9:50am","Thursday","25","1","0","","WPH206"
"","","","","Discussion","10410D","001","11:00-11:50am","Friday","25","0","0","","THH207"
"","","","","Discussion","10411R","001","12:00-12:50pm","Monday","25","3","0","","SOSB48"
"","","","","Discussion","10412R","001","12:00-12:50pm","Wednesday","25","5","0","","SOSB48"
"","","","","Discussion","10413R","001","1:00-1:50pm","Wednesday","25","7","0","","SOSB48"
"","","","","Discussion","10414R","001","1:00-1:50pm","Monday","25","4","0","","SOSB48"
"CLAS-150g","The Greeks and their Legacies","","4.0 units","Lecture","19820R","001","11:00-12:20pm","Tue, Thu","50","3","0","Christelle Fischer-Bovet","THH101"
"","","","","Discussion","19822R","001","9:00-9:50am","Friday","25","1","0","","THH121"
"","","","","Discussion","19823R","001","10:00-10:50am","Friday","25","2","0","","THH121"
"CLAS-280gp","Classical Mythology in Art and Literature","","4.0 units","Lecture","19800R","001","2:00-3:20pm","Tue, Thu","100","4","0","Lucas Herchenroeder","THH102"
"","","","","Discussion","19801R","001","8:00-8:50am","Friday","25","2","0","","VKC160"
"","","","","Discussion","19802R","001","9:00-9:50am","Friday","25","0","0","","VKC160"
"","","","","Discussion","19803R","001","10:00-10:50am","Friday","25","0","0","","VKC160"
"","","","","Discussion","19804R","001","11:00-11:50am","Friday","25","2","0","","VKC160"
"CLAS-320mgp","Diversity and the Classical Western Tradition","","4.0 units","Lecture","19810R","001","12:30-1:50pm","Tue, Thu","150","20","0","Daniel Richter","THH101"
"","","","","Discussion","19811R","001","8:00-8:50am","Friday","25","0","0","","VKC155"
"","","","","Discussion","19812R","001","9:00-9:50am","Friday","25","6","0","","VKC155"
"","","","","Discussion","19814R","001","10:00-10:50am","Friday","25","3","0","","VKC155"
"","","","","Discussion","19816R","001","11:00-11:50am","Friday","25","4","0","","VKC155"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","4","0","","VKC155"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","3","0","","VKC155"
"COLT-101gp","Masterpieces and Masterminds: Literature and Thought","","4.0 units","Lecture","22000R","001","11:00-12:20pm","Tue, Thu","45","6","0","Vincent Farenga","THH202"
"","","","","Discussion","22001R","001","9:00-9:50am","Friday","10","0","0","","VKC108"
"","","","","Discussion","22002R","001","10:00-10:50am","Friday","10","2","0","","THH213"
"","","","","Discussion","22003R","001","11:00-11:50am","Friday","10","1","0","","VKC108"
"","","","","Discussion","22004R","001","12:00-12:50pm","Friday","10","3","0","","VKC107"
"HIST-100mg","The American Experience","","4.0 units","Lecture","36980R","001","9:30-10:50am","Tue, Thu","20","12","0","Lon Kurashige","THH202"
"","","","","Discussion","36982R","001","9:00-9:50am","Friday","25","2","0","","VKC206"
"","","","","Discussion","36983R","001","10:00-10:50am","Friday","25","6","0","","VKC206"
"","","","","Discussion","36984R","001","11:00-11:50am","Friday","25","2","0","","VKC206"
"","","","","Discussion","36981R","001","8:00-8:50am","Friday","25","2","0","","VKC206"
"HIST-101gp","State and Society in the Ancient World","","4.0 units","Lecture","37008R","001","8:30-9:50am","Mon, Wed","20","20","0","Maya Maskarinec","THH102"
"","","","","Discussion","37009R","001","10:00-10:50am","Wednesday","25","10","0","","THH B10"
"","","","","Discussion","37010R","001","11:00-11:50am","Wednesday","25","2","0","","THH B10"
"","","","","Discussion","37011R","001","12:00-12:50pm","Wednesday","25","6","0","","THH B10"
"","","","","Discussion","37012R","001","1:00-1:50pm","Wednesday","25","2","0","","THH B10"
"HIST-102mg","The Worlds of Medieval Europe","","4.0 units","Lecture","36909R","001","8:00-9:20am","Tue, Thu","49","8","0","Jason Glenn","THH116"
"","","","","Discussion","36910R","001","10:00-10:50am","Friday","24","3","0","","VKC258"
"","","","","Discussion","36911R","001","9:00-9:50am","Friday","25","5","0","","VKC258"
"HIST-104gp","Modern Europe","","4.0 units","Lecture","36930R","001","9:30-10:50am","Tue, Thu","100","35","0","Aro Velmet","THH301"
"","","","","Discussion","36931R","001","8:00-8:50am","Friday","25","3","0","","VKC151"
"","","","","Discussion","36932R","001","9:00-9:50am","Friday","25","12","0","","VKC151"
"","","","","Discussion","36933R","001","10:00-10:50am","Friday","25","11","0","","VKC151"
"","","","","Discussion","36934R","001","11:00-11:50am","Friday","25","9","0","","VKC151"
"JS-100gp","Jewish History","","4.0 units","Lecture","38250R","001","2:00-3:20pm","Mon, Wed","20","20","0","Candice Levy,<br />Leah Hochman","MRF340"
"","","","","Discussion","38251R","001","3:30-4:20pm","Wednesday","25","3","0","","THH B9"
"","","","","Discussion","38252R","001","3:30-4:20pm","Monday","25","9","0","","THH B9"
"","","","","Discussion","38253R","001","4:00-4:50pm","Tuesday","25","6","0","","THHB9"
"","","","","Discussion","38260R","001","4:30-5:20pm","Wednesday","25","2","0","","THH B9"
