b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"WRIT-095x","Writing Tutorial","","1.0 unit","Lecture","66992D","001","11:00-11:50am","Tuesday","100","1","0","","THH216"
"","","","","Lecture","66995D","001","5:00-5:50pm","Wednesday","100","1","0","","THH216"
"WRIT-120","Introduction to College Writing","","4.0 units","Lecture","64010R","001","11:00-11:50am","MWF","17","0","0","Sandra Ross","GFS112"
"","","","","Lecture","64015R","001","1:00-1:50pm","MWF","17","1","0","Sandra Ross","VKC200"
"WRIT-150","Writing and Critical Reasoning--Thematic Approaches","","4.0 units"
"","Technology &amp; Social Change","","4.0","Lecture","64200R","001","8:30-9:50am","Mon, Wed","3","3","0","Brett Gordon","GFS201"
"","Writing Across the Aisle","","4.0","Lecture","64205R","001","8:30-9:50am","Mon, Wed","3","1","0","Jim Clements","GFS216"
"","Globalization: Current Issues &amp; Cross-Cultural Perspectives","","4.0","Lecture","64210R","001","8:30-9:50am","Mon, Wed","3","0","0","Alisa Sanchez","GFS210"
"","Technology &amp; Social Change","","4.0","Lecture","64215R","001","8:30-9:50am","Mon, Wed","3","2","0","Brent Chappelow","VKC257"
"","Issues in Contemporary Economics","","4.0","Lecture","64220R","001","8:00-9:20am","Tue, Thu","3","1","0","Benjamin Pack","GFS218"
"","Issues in Aesthetics","","4.0","Lecture","64225R","001","8:00-9:20am","Tue, Thu","3","1","0","Sarah Mesle","GFS112"
"","Issues in Law and Social Justice","","4.0","Lecture","64235R","001","8:00-9:20am","Tue, Thu","3","0","0","Devon Harlow","GFS201"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64240R","001","8:00-9:20am","Tue, Thu","3","2","0","Jessi Johnson","GFS114"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64255R","001","9:00-9:50am","MWF","3","2","0","Taiyaba Husain","VKC200"
"","Community Engagement","","4.0","Lecture","64260D","001","9:00-9:50am","MWF","15","0","0","Emily Artiano","GFS113"
"","Issues in Law and Social Justice","","4.0","Lecture","64265R","001","9:00-9:50am","MWF","3","0","0","Deanna Rivera","GFS112"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64270R","001","9:00-9:50am","MWF","3","1","0","Elizabeth Durst","GFS202"
"","Education and Intellectual Development","","4.0","Lecture","64280R","001","9:00-9:50am","MWF","3","1","0","April Davidauskis","GFS229"
"","Health and Healing","","4.0","Lecture","64285D","001","9:00-9:50am","MWF","15","0","0","Kate Levin","GFS204"
"","Issues in Sustainability","","4.0","Lecture","64295R","001","9:00-9:50am","MWF","3","0","0","Laurie Fisher","GFS217"
"","Community Engagement","","4.0","Lecture","64315R","001","9:30-10:50am","Tue, Thu","3","0","0","Benjamin Pack","GFS218"
"","Technology &amp; Social Change","","4.0","Lecture","64320R","001","9:30-10:50am","Tue, Thu","3","3","0","Lauraanne Carroll-Adler","GFS216"
"","Issues in Aesthetics","","4.0","Lecture","64330R","001","9:30-10:50am","Tue, Thu","3","0","0","Sarah Mesle","GFS112"
"","Human Values and Belief Systems","","4.0","Lecture","64340R","001","9:30-10:50am","Tue, Thu","3","0","0","Alexis Landau","SOSB45"
"","Issues in Law and Social Justice","","4.0","Lecture","64350R","001","9:30-10:50am","Tue, Thu","3","1","0","Devon Harlow","GFS201"
"","Issues in Sustainability","","4.0","Lecture","64355R","001","9:30-10:50am","Tue, Thu","3","0","0","Carrie Kilfoil","SOS B38"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64360R","001","9:30-10:50am","Tue, Thu","3","0","0","Jessi Johnson","GFS114"
"","Human Values and Belief Systems","","4.0","Lecture","64370R","001","10:00-10:50am","MWF","3","1","0","Michael Bunn","GFS212"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64375R","001","10:00-10:50am","MWF","3","1","0","Taiyaba Husain","VKC200"
"","Issues in Aesthetics","","4.0","Lecture","64380D","001","10:00-10:50am","MWF","15","0","0","Leah Pate","GFS228"
"","Community Engagement","","4.0","Lecture","64385R","001","10:00-10:50am","MWF","3","2","0","Emily Artiano","GFS113"
"","Issues in Aesthetics","","4.0","Lecture","64390R","001","10:00-10:50am","MWF","3","2","0","Pamela Albanese","GFS229"
"","Health and Healing","","4.0","Lecture","64400R","001","10:00-10:50am","MWF","3","0","0","Mary Traester","GFS114"
"","Health and Healing","","4.0","Lecture","64410R","001","10:00-10:50am","MWF","3","0","0","Kate Levin","GFS204"
"","Technology &amp; Social Change","","4.0","Lecture","64415R","001","10:00-10:50am","MWF","3","2","0","Brett Gordon","GFS201"
"","Issues in Sustainability","","4.0","Lecture","64420R","001","10:00-10:50am","MWF","3","1","0","Michelle Meyers","GFS217"
